training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9193,0.1027,0,0
1,0,0.9296,0.1434,0,0
2,0,0.9327,0.1056,0,0
3,0,0.9326,0.1258,0,0
4,0,0.8924,0.0725,0,0
5,0,0.9322,0.1147,0,0
6,0,0.8762,0.0728,0,0
7,0,0.9252,0.1161,0,0
8,0,0.9124,0.0706,0,0
9,0,0.9276,0.0754,0,0
