training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9936,0.1754,0,0
1,0,0.9933,0.1277,0,0
2,0,0.9927,0.0717,0,0
3,0,0.9927,0.1221,0,0
