training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8496,0.0860,0,0
1,0,0.9303,0.1354,0,0
2,0,0.9319,0.1124,0,0
3,0,0.9333,0.0993,0,0
4,0,0.8887,0.1423,0,0
5,0,0.9328,0.1273,0,0
6,0,0.9115,0.0804,0,0
7,0,0.9276,0.1494,0,0
8,0,0.9162,0.0655,0,0
9,0,0.9218,0.0771,0,0
