training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9288,0.1539,0,0
1,0,0.8596,0.0735,0,0
2,0,0.8615,0.1210,0,0
3,0,0.8595,0.0771,0,0
4,0,0.8653,0.0706,0,0
5,0,0.9059,0.1211,0,0
6,0,0.9000,0.0854,0,0
7,0,0.8902,0.0982,0,0
8,0,0.9110,0.1174,0,0
9,0,0.8962,0.1119,0,0
