training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8652,0.0896,0,0
1,0,0.8691,0.0747,0,0
2,0,0.8660,0.0806,0,0
3,0,0.8689,0.1315,0,0
4,0,0.8681,0.0998,0,0
5,0,0.8682,0.1045,0,0
6,0,0.8713,0.0954,0,0
7,0,0.8671,0.1008,0,0
8,0,0.8718,0.1287,0,0
9,0,0.8707,0.1324,0,0
