training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9255,0.0941,0,0
1,0,0.9102,0.1203,0,0
2,0,0.8802,0.1189,0,0
3,0,0.8340,0.1167,0,0
4,0,0.7862,0.1189,0,0
5,0,0.7025,0.1426,0,0
6,0,0.5032,0.1138,0,0
7,0,0.4559,0.0819,0,0
8,0,0.3699,0.1331,0,0
9,0,0.3300,0.1523,0,0
