training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9831,0.0233,0,0
1,0,0.3588,0.0000,0,0
2,0,0.0000,0.0000,0,0
3,0,0.0000,0.0000,0,0
4,0,0.4539,0.0000,0,0
