training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9202,0.0680,0,0
1,0,0.9286,0.1458,0,0
2,0,0.9315,0.1145,0,0
3,0,0.9293,0.1129,0,0
4,0,0.9227,0.0864,0,0
5,0,0.9297,0.1093,0,0
6,0,0.8984,0.0873,0,0
7,0,0.9288,0.1283,0,0
8,0,0.9100,0.0529,0,0
9,0,0.9264,0.0627,0,0
