training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9275,0.1168,0,0
1,0,0.9307,0.1287,0,0
2,0,0.9305,0.0969,0,0
3,0,0.9105,0.0998,0,0
4,0,0.9209,0.0937,0,0
5,0,0.9224,0.1012,0,0
6,0,0.9204,0.0719,0,0
7,0,0.9061,0.0919,0,0
8,0,0.9275,0.1678,0,0
9,0,0.8993,0.0705,0,0
