training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8563,0.1514,0,0
1,0,0.8731,0.1092,0,0
2,0,0.8744,0.0990,0,0
3,0,0.8693,0.0647,0,0
4,0,0.8742,0.1092,0,0
5,0,0.8754,0.1034,0,0
6,0,0.8691,0.1202,0,0
7,0,0.8746,0.0940,0,0
8,0,0.8699,0.1046,0,0
9,0,0.8690,0.1224,0,0
