training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9319,0.1115,0,0
1,0,0.9246,0.1570,0,0
2,0,0.9290,0.1047,0,0
3,0,0.9301,0.1022,0,0
4,0,0.9096,0.1026,0,0
5,0,0.9325,0.1294,0,0
6,0,0.9134,0.0882,0,0
7,0,0.9298,0.1321,0,0
8,0,0.8952,0.0801,0,0
9,0,0.9265,0.0775,0,0
