training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9280,0.1022,0,0
1,0,0.9344,0.1530,0,0
2,0,0.9327,0.1089,0,0
3,0,0.9303,0.0986,0,0
4,0,0.8821,0.0851,0,0
5,0,0.9288,0.1416,0,0
6,0,0.9140,0.0764,0,0
7,0,0.9306,0.1335,0,0
8,0,0.9141,0.0782,0,0
9,0,0.9244,0.0587,0,0
